Plot Code,Date,state,countyName,Real Latitude,Real Longitude,Hydrologic Regime,Soil Drainage,Water Salinity,Canopy Height (m),Author Location,Area,Elevation(m),Aspect,Slope,Topographic Position,Sampling Level,project,commPrimaryCode,commPrimaryScientific,commPrimaryCommon,commPrimaryDateClassified,commPrimaryFit,soilMapUnit,soilGreatGroup
051-08-0261,16-Jul-2003,South Carolina,Berkeley,33.10192259,-79.70164677,,,,,Francis Marion NF - Cumbee Road,100,11.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007718,Carex striata var. striata - Xyris fimbriata - Lachnanthes caroliana Herbaceous Vegetation,Southern Peatland Sedge Depression,16-Dec-2010,3,Ocilla loamy fine sand,AQUIC ARENIC PALEUDULTS
051-08-0262,16-Jul-2003,South Carolina,Berkeley,33.10197828,-79.70118852,Semipermanently flooded,poorly drained,Freshwater,,Francis Marion NF - Cumbee Road,1000,10.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007718,Carex striata var. striata - Xyris fimbriata - Lachnanthes caroliana Herbaceous Vegetation,Southern Peatland Sedge Depression,16-Dec-2010,3,Ocilla loamy fine sand,AQUIC ARENIC PALEUDULTS
051-08-0263,29-Jul-2003,South Carolina,Berkeley,33.08784519,-79.72633645,,,,,Francis Marion NF - Dog Swamp Road,200,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),20-Dec-2010,4,Ocilla loamy fine sand,AQUIC ARENIC PALEUDULTS
051-08-0264,29-Jul-2003,South Carolina,Berkeley,33.09340092,-79.71321688,,,,,Francis Marion National Forest,100,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004090,Taxodium ascendens - Aristida palustris Depression Woodland,Atlantic Coastal Plain Pond-cypress Depression (Longleaf Three-awn Type),16-Dec-2010,4,Pantego fine sandy loam,UMBRICPALEAQUULTS
051-08-0265,30-Jul-2003,South Carolina,Berkeley,33.10530616,-79.701938,,,,,Francis Marion National Forest,1000,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),16-Dec-2010,3,Ocilla loamy fine sand,AQUIC ARENIC PALEUDULTS
051-08-0266,01-Aug-2003,South Carolina,Berkeley,33.09390931,-79.7131904,,,,,Francis Marion National Forest,100,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),16-Dec-2010,3,Pantego fine sandy loam,UMBRICPALEAQUULTS
051-08-0267,10-Aug-2003,South Carolina,Berkeley,33.08536623,-79.69016091,,,,,Francis Marion NF - Cumbee Road,100,17.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007419,"Taxodium ascendens / Ilex myrtifolia / Carex (striata, turgescens) Stringer Forest",Pond-cypress Stringer Forest,20-Dec-2010,3,Witherbee fine sand,AERICALAQUODS
051-08-0268,11-Aug-2003,South Carolina,Berkeley,33.08695698,-79.73379337,,,,,Francis Marion NF - Dog Swamp Road,100,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),16-Dec-2010,3,Pantego fine sandy loam,UMBRICPALEAQUULTS
051-08-0269,11-Aug-2003,South Carolina,Berkeley,33.08656286,-79.73366447,,,,,Francis Marion NF - Dog Swamp Road,100,12.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),20-Dec-2010,3,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
051-08-0270,12-Aug-2003,South Carolina,Charleston,33.06392801,-79.67675452,,,,,Francis Marion National Forest,200,9.0,,,,5,FMNF Cypress Depression Joel Gramling,CEGL007049,Magnolia virginiana - Persea palustris / Lyonia lucida Forest,Outer Coastal Plain Sweetbay Swamp Forest,16-Dec-2010,3,St. Johns fine sand,TYPICALAQUODS
068-FRMA-102,12-Sep-2003,South Carolina,Berkeley,33.1408,-79.7547,Intermittently flooded,,,,Burned Cane Plantago sparsiflora,1000,,180,0,Lowslope,4,FMNF - NatureServe Milo Pyne,CEGL004086,Pinus palustris / Schizachyrium scoparium - Muhlenbergia expansa - Arnoglossum ovatum Woodland,Atlantic Coastal Plain / Wet Ultisol Longleaf Pine Savanna,11-Sep-2012,,,
112-05-1388,12-Sep-2003,South Carolina,Berkeley,33.14088752,-79.75474509,Intermittently flooded,,Upland (n/a),,Francis Marion NF - Burned Cane Road,1000,6.0,-1,0,Lowslope,4,FMNF - NatureServe Milo Pyne,CEGL004086,Pinus palustris / Schizachyrium scoparium - Muhlenbergia expansa - Arnoglossum ovatum Woodland,Atlantic Coastal Plain / Wet Ultisol Longleaf Pine Savanna,17-Nov-2009,5,,
068-FRMA-105,25-Oct-2003,South Carolina,Charleston,33.0428,-79.708,Saturated,,,,Halfway Creek Road Sarracenia flava swale,1000,131.2,-1,0,Low level,4,FMNF - NatureServe Milo Pyne,CEGL004498,Pinus palustris - Pinus serotina / Aristida palustris - Sarracenia flava Woodland,,11-Sep-2012,,,
112-05-1389,25-Oct-2003,South Carolina,Charleston,33.04288526,-79.707968,[multiple],,,,Francis Marion NF - Halfway Creek Road,1000,19.0,-1,0,Low level,4,FMNF - NatureServe Milo Pyne,CEGL004498,Pinus palustris - Pinus serotina / Aristida palustris - Sarracenia flava Woodland,,17-Nov-2009,4,,
068-FRMA-103,21-Dec-2003,South Carolina,Berkeley,33.2139,-79.4642,,,,,Echaw Road Live Oak,1000,32.8,0,2,Interfluve,4,FMNF - NatureServe Milo Pyne,CEGL004095,Quercus virginiana - Pinus taeda / Ilex vomitoria / Chasmanthium sessiliflorum Forest [Provisional],,12-Sep-2012,,,
068-FRMA-101,21-Dec-2003,South Carolina,Berkeley,33.2425,-79.54,,,,,Battery Warren Oak-Hickory,1000,98.4,45,5,Midslope,4,FMNF - NatureServe Milo Pyne,CEGL007225,Quercus alba - Carya glabra - Carya alba / Aesculus pavia Forest,Basic Mesic Coastal Plain Oak - Hickory Forest,12-Sep-2012,,,
112-05-1390,25-Dec-2003,South Carolina,Berkeley,33.26018562,-79.74138553,[multiple],,Upland (n/a),,Francis Marion NF - Savanna Creek,1000,10.0,2,2.5,,4,FMNF - NatureServe Milo Pyne,CEGL004085,"Pinus palustris - Pinus (serotina, taeda) / Sporobolus curtissii - Muhlenbergia expansa Woodland",Atlantic Coastal Plain / Wet Ultisol Longleaf Pine Savanna,17-Nov-2009,4,,
063-04-0925,21-May-2005,SOUTH CAROLINA,Charleston,33.15209374,-79.36684194,Semipermanently flooded,very poorly drained,Freshwater,22,Santee Coastal WMA - Washo Reserve,400,3.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL004484,"Nyssa biflora - (Nyssa aquatica, Taxodium distichum) Tidal Forest",Tidal Hardwood Swamp Forest,,3,Chipley loamy fine sand,AQUIC QUARTZIPSAMMENTS
063-04-0926,21-May-2005,SOUTH CAROLINA,Charleston,33.15139494,-79.36719799,Permanently flooded,,Freshwater,,Santee Coastal WMA - Washo Reserve,100,2.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL002420,Taxodium distichum / Lemna minor Forest,Bald-cypress Swamp,26-Nov-2012,3,"Lakeland sand, 0 to 6 percent slopes",TYPIC QUARTZIPSAMMENTS
063-04-0927,21-May-2005,SOUTH CAROLINA,Charleston,33.15089207,-79.36874051,Permanently flooded,,Freshwater,,Santee Coastal WMA - Washo Reserve,100,2.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL002420,Taxodium distichum / Lemna minor Forest,Bald-cypress Swamp,26-Nov-2012,3,Water,
063-07-0925,21-May-2005,SOUTH CAROLINA,Charleston,33.15097413,-79.36674476,Saturated,well drained,Upland (n/a),30,Santee Coastal WMA - Washo Reserve,1000,3.0,,,Lowslope,5,Francis Marion NF Pulse2005a,CEGL007022,Quercus hemisphaerica - Pinus taeda - (Quercus nigra) / Osmanthus americanus var. americanus / Ilex glabra Forest,Atlantic Coastal Plain Swamp Island Forest,,3,"Lakeland sand, 0 to 6 percent slopes",TYPIC QUARTZIPSAMMENTS
063-08-0925,21-May-2005,SOUTH CAROLINA,Berkeley,33.21040152,-79.46757773,Permanently flooded,very poorly drained,Freshwater,15,Francis Marion NF - Wambaw Bridge,400,2.0,,,Channel bed,5,Francis Marion NF Pulse2005a,CEGL004696,Nyssa biflora - Nyssa aquatica - Taxodium distichum / Saururus cernuus Forest,Upper Tidal Gum Swamp Forest,,3,"Caroline fine sandy loam, 2 to 6 percent slopes",TYPICPALEUDULTS
063-09-0925,21-May-2005,SOUTH CAROLINA,Berkeley,33.21088161,-79.46826278,Upland,moderately well drained,,20,Francis Marion NF - Wambaw Bridge,1000,4.0,143,5,Midslope,5,Francis Marion NF Pulse2005a,CEGL004321,Quercus alba - Carya alba / Oxydendrum arboreum - Ilex opaca / Gaylussacia frondosa - Symplocos tinctoria - Vaccinium stamineum Coastal Plain Forest,Atlantic Coastal Plain Dry-Mesic Oak-Hickory Forest,06-May-2011,3,"Caroline fine sandy loam, 2 to 6 percent slopes",TYPICPALEUDULTS
063-04-0928,22-May-2005,SOUTH CAROLINA,Charleston,33.07744416,-79.33412509,Upland,excessivley drained,,,Cape Romain NWR - Cape Island,400,4.0,,,Interfluve,5,Francis Marion NF Pulse2005a,CEGL004038,Uniola paniculata Herbaceous Vegetation,Outer Banks Coastal Dune Grass,,4,Water,
063-04-0929,22-May-2005,SOUTH CAROLINA,Charleston,33.07871164,-79.33448685,Intermittently flooded,moderately well drained,Brackish,,Cape Romain NWR - Cape Island,600,-1.0,,,,5,Francis Marion NF Pulse2005a,CEGL004097,Spartina patens - Schoenoplectus pungens - Solidago sempervirens Herbaceous Vegetation,Overwash Dune Grassland,,4,Water,
063-04-0930,22-May-2005,SOUTH CAROLINA,Charleston,33.07932985,-79.35659734,Permanently flooded - tidal,poorly drained,,,Santee Coastal WMA - Murphy Island/Alligator Creek,400,1.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL003924,"Borrichia frutescens / (Spartina patens, Juncus roemerianus) Shrubland",Seaside Oxeye Tidal Shrub Flat,,3,Coastal beaches and dune land,
063-04-0931,22-May-2005,SOUTH CAROLINA,Charleston,33.07940606,-79.35622097,Permanently flooded - tidal,very poorly drained,Brackish,,Santee Coastal WMA - Murphy Island/Alligator Creek,400,1.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL004191,Spartina alterniflora Carolinian Zone Herbaceous Vegetation,Southern Atlantic Coast Salt Marsh,,3,Coastal beaches and dune land,
063-04-0932,22-May-2005,SOUTH CAROLINA,Charleston,33.07991224,-79.35562233,Permanently flooded - tidal,very poorly drained,Saltwater,,Santee Coastal WMA - Murphy Island/Alligator Creek,400,5.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL004197,Spartina patens - Distichlis spicata - Juncus roemerianus Herbaceous Vegetation,Mid-Atlantic High Salt Marsh,,2,Coastal beaches and dune land,
063-04-0933,22-May-2005,SOUTH CAROLINA,Charleston,33.07880502,-79.35578221,Upland,excessivley drained,,4,Santee Coastal WMA - Murphy Island/Alligator Creek,200,1.0,180,3,,5,Francis Marion NF Pulse2005a,CEGL003839,Morella cerifera / Spartina patens - (Juncus roemerianus) Shrubland,Atlantic Coast Interdune Swale,04-Aug-2009,4,"Tidal marsh, soft",
063-08-0926,22-May-2005,SOUTH CAROLINA,Charleston,33.07683545,-79.33649334,Irregularly flooded,,Saltwater,,Cape Romain NWR - Cape Island,1000,1.0,,,,5,Francis Marion NF Pulse2005a,CEGL004040,Uniola paniculata - Hydrocotyle bonariensis Herbaceous Vegetation,,18-Feb-2011,2,Water,
063-08-0927,22-May-2005,SOUTH CAROLINA,Charleston,33.07947695,-79.35680886,Temporarily flooded,,,9,Santee Coastal WMA - Murphy Island/Alligator Creek,400,1.0,,,,5,Francis Marion NF Pulse2005a,CEGL007026,Quercus virginiana - Quercus hemisphaerica - Pinus taeda - Quercus falcata / Persea palustris Forest,Atlantic Coastal Fringe Evergreen Forest,,3,Coastal beaches and dune land,
063-02-0926,22-May-2005,SOUTH CAROLINA,Berkeley,33.21390286,-79.45803882,,somewhat poorly drained,Upland (n/a),35,Francis Marion NF - Wambaw Creek,1000,4.0,230,1,Low level,5,Francis Marion NF Pulse2005a,CEGL004788,"Quercus hemisphaerica - Magnolia grandiflora - Carya (glabra, pallida) / Vaccinium arboreum / Chasmanthium sessiliflorum Forest",Sand Laurel Oak - Mixed Hardwood Upland Forest,,3,"Duplin fine sandy loam, 0 to 2 percent slopes",AQUICPALEUDULTS
063-09-0926,22-May-2005,SOUTH CAROLINA,Berkeley,33.18211998,-79.77926028,Intermittently flooded,somewhat poorly drained,Freshwater,25,Francis Marion NF - Jericho Swamo,1000,7.0,-1,0,Basin floor,5,Francis Marion NF Pulse2005a,CEGL007447,Quercus laurifolia - Nyssa biflora / Clethra alnifolia - Leucothoe axillaris Forest,,,3,Meggett loam,TYPICALBAQUALFS
063-02-0927,23-May-2005,SOUTH CAROLINA,Berkeley,33.21447349,-79.46406941,,,,30,Francis Marion NF - Wambah Creek,1000,6.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL007026,Quercus virginiana - Quercus hemisphaerica - Pinus taeda - Quercus falcata / Persea palustris Forest,Atlantic Coastal Fringe Evergreen Forest,17-Aug-2010,3,"Goldsboro loamy sand, 0 to 2 percent slopes",AQUICPALEUDULTS
063-04-0934,23-May-2005,SOUTH CAROLINA,Berkeley,33.2846226,-79.61631601,Intermittently flooded,poorly drained,Freshwater,25,Francis Marion NF - Guillard Lake,1000,6.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL004735,Quercus lyrata - Quercus laurifolia - Taxodium distichum / Saururus cernuus Forest,Overcup Oak - Diamondleaf Oak - Bald-cypress Blackwater Bottomland Forest,,3,"Tawcaw association, frequently flooded",FLUVAQUENTIC DYSTRUDEPTS
063-04-0935,23-May-2005,SOUTH CAROLINA,Berkeley,33.28560545,-79.61548436,Intermittently flooded,well drained,Freshwater,10,Francis Marion NF - Guillard Lake,500,5.0,140,2,,5,Francis Marion NF Pulse2005a,CEGL007732,"Liquidambar styraciflua - Quercus (laurifolia, nigra) - (Pinus taeda) / Arundinaria gigantea / Carex abscondita Forest",,,3,Water,
063-09-0928,23-May-2005,SOUTH CAROLINA,Berkeley,33.10144456,-79.84688268,Saturated,very poorly drained,Freshwater,25,Francis Marion NF - Querterman Branch Reserve,1000,3.0,-1,0,Low level,5,Francis Marion NF Pulse2005a,CEGL004082,"Acer rubrum - Nyssa biflora - (Liquidambar styraciflua, Fraxinus sp.) Maritime Swamp Forest",,,3,Lenoir fine sandy loam,AERIC PALEAQUULTS
063-07-0926,23-May-2005,SOUTH CAROLINA,Berkeley,33.28443993,-79.61692025,Intermittently flooded,somewhat poorly drained,Freshwater,30,Francis Marion NF - Guillard Lake,1000,6.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL007431,Taxodium distichum - Nyssa aquatica / Fraxinus caroliniana Forest,Cypress - Tupelo Semipermanently Flooded Brownwater Swamp,,4,"Tawcaw association, frequently flooded",FLUVAQUENTIC DYSTRUDEPTS
063-02-0930,24-May-2005,SOUTH CAROLINA,Charleston,33.06109245,-79.68610849,Saturated,very poorly drained,Freshwater,20,Francis Marion NF - Ocean Bay,100,12.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL007420,Taxodium ascendens / (Nyssa biflora) / Leucothoe racemosa - Lyonia lucida - Morella cerifera Depression Forest,Pond-cypress Depression Forest,,3,St. Johns fine sand,TYPICALAQUODS
063-07-0927,24-May-2005,SOUTH CAROLINA,Charleston,33.06293846,-79.68544889,Saturated,well drained,Upland (n/a),20,Francis Marion NF - Ocean Bay,100,12.0,,,Lowslope,5,Francis Marion NF Pulse2005a,CEGL004458,Pinus serotina / Zenobia pulverulenta - Cyrilla racemiflora - Lyonia lucida Wooded Shrubland,Deciduous High Pocosin,,3,St. Johns fine sand,TYPICALAQUODS
063-02-0928,24-May-2005,SOUTH CAROLINA,Berkeley,33.06456818,-79.69673619,Saturated,very poorly drained,Upland (n/a),8,Francis Marion NF-Ocean Bay,100,13.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL003944,Ilex glabra - Lyonia lucida - Zenobia pulverulenta Shrubland,Gallberry - Honeycups Low Pocosin,17-Aug-2010,3,Pamlico muck,TERRIC HAPLOSAPRISTS
063-02-0929,24-May-2005,SOUTH CAROLINA,Berkeley,33.0642166,-79.69502754,Upland,moderately well drained,,18,Francis Marion NF-Ocean Bay,200,13.0,,,High level,5,Francis Marion NF Pulse2005a,CEGL003589,Pinus palustris / Quercus laevis - Quercus geminata / Vaccinium tenellum / Aristida stricta Woodland,Atlantic Coastal Fringe Longleaf Sandhill Scrub,,3,Chipley-Echaw complex,
063-03-0925,24-May-2005,SOUTH CAROLINA,Berkeley,33.24265115,-79.54011802,Upland,well drained,Upland (n/a),25,Francis Marion NF - Battery Historic,1000,6.0,328,10,High slope,5,Francis Marion NF Pulse2005a,CEGL004788,"Quercus hemisphaerica - Magnolia grandiflora - Carya (glabra, pallida) / Vaccinium arboreum / Chasmanthium sessiliflorum Forest",Sand Laurel Oak - Mixed Hardwood Upland Forest,,3,Rains fine sandy loam,TYPIC PALEAQUULTS
063-04-0936,24-May-2005,SOUTH CAROLINA,Berkeley,33.24695212,-79.5369552,Upland,moderately well drained,,25,Francis Marion NF - Battery Historic,1000,3.0,,,Midslope,5,Francis Marion NF Pulse2005a,CEGL004788,"Quercus hemisphaerica - Magnolia grandiflora - Carya (glabra, pallida) / Vaccinium arboreum / Chasmanthium sessiliflorum Forest",Sand Laurel Oak - Mixed Hardwood Upland Forest,,2,"Caroline fine sandy loam, 2 to 6 percent slopes",TYPICPALEUDULTS
063-02-0931,25-May-2005,SOUTH CAROLINA,Charleston,33.14884649,-79.50581602,Intermittently flooded,poorly drained,,40,Francis Marion NF - 211 Mill Branch,1000,4.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL007846,Quercus phellos - Quercus laurifolia - Nyssa biflora - Liquidambar styraciflua / Arundinaria gigantea ssp. tecta - Sabal minor Forest,,26-Nov-2012,4,Wadmalaw fine sandy loam,UMBRICENDOAQUALFS
063-04-0937,25-May-2005,SOUTH CAROLINA,Charleston,33.17802694,-79.496703,Intermittently flooded,poorly drained,Freshwater,24,Francis Marion NF - Wambaw Creek,1000,3.0,-1,0,Channel bed,5,Francis Marion NF Pulse2005a,CEGL004696,Nyssa biflora - Nyssa aquatica - Taxodium distichum / Saururus cernuus Forest,Upper Tidal Gum Swamp Forest,,3,Chastain soils,FLUVAQUENTIC ENDOAQUEPTS
063-04-0938,25-May-2005,SOUTH CAROLINA,Charleston,33.17775345,-79.49646099,Upland,well drained,,25,Francis Marion NF - Wambaw Creek,600,3.0,0,8,,5,Francis Marion NF Pulse2005a,CEGL004788,"Quercus hemisphaerica - Magnolia grandiflora - Carya (glabra, pallida) / Vaccinium arboreum / Chasmanthium sessiliflorum Forest",Sand Laurel Oak - Mixed Hardwood Upland Forest,,3,Chastain soils,FLUVAQUENTIC ENDOAQUEPTS
063-07-0928,25-May-2005,SOUTH CAROLINA,Berkeley,33.2289178,-79.77063614,Saturated,poorly drained,,30,Francis Marion NF - Big Ocean Bay,100,15.0,,,Basin floor,5,Francis Marion NF Pulse2005a,CEGL007049,Magnolia virginiana - Persea palustris / Lyonia lucida Forest,Outer Coastal Plain Sweetbay Swamp Forest,,4,Pickney loamy fine sand,CUMULICHUMAQUEPTS
063-08-0930,25-May-2005,SOUTH CAROLINA,Berkeley,33.22926537,-79.77112493,Intermittently flooded,very poorly drained,Freshwater,,Francis Marion NF - Big Ocean Bay,400,15.0,,,,5,Francis Marion NF Pulse2005a,CEGL003944,Ilex glabra - Lyonia lucida - Zenobia pulverulenta Shrubland,Gallberry - Honeycups Low Pocosin,,3,Leon fine sand,AERICALAQUODS
063-08-0931,25-May-2005,SOUTH CAROLINA,Berkeley,33.24061271,-79.77763121,Intermittently flooded,,,,Francis Marion NF - Big Ocean Bay,1000,15.0,,,,5,Francis Marion NF Pulse2005a,CEGL004435,Pinus serotina - (Liriodendron tulipifera) / Lyonia lucida - Clethra alnifolia - Ilex glabra Woodland,,,2,Pickney loamy fine sand,CUMULICHUMAQUEPTS
063-04-0940,26-May-2005,SOUTH CAROLINA,Charleston,33.13439833,-79.44356945,Intermittently flooded,poorly drained,Freshwater,,Francis Marion NF - US 17/Collins Creek,200,6.0,,,,5,Francis Marion NF Pulse2005a,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),,4,Stono fine sandy loam,TYPIC ARGIAQUOLLS
063-08-0933,26-May-2005,SOUTH CAROLINA,Charleston,33.14862691,-79.50586794,Permanently flooded,very poorly drained,Freshwater,35,Francis Marion NF - 211 Mill Branch,1000,4.0,-1,0,Basin floor,5,Francis Marion NF Pulse2005a,CEGL004696,Nyssa biflora - Nyssa aquatica - Taxodium distichum / Saururus cernuus Forest,Upper Tidal Gum Swamp Forest,,4,Wadmalaw fine sandy loam,UMBRICENDOAQUALFS
063-08-0934,26-May-2005,SOUTH CAROLINA,Charleston,33.2063759,-79.46878515,Semipermanently flooded,very poorly drained,Freshwater,35,Francis Marion NF - Wambaw Bridge,100,5.0,-1,0,Basin floor,5,Francis Marion NF Pulse2005a,CEGL004696,Nyssa biflora - Nyssa aquatica - Taxodium distichum / Saururus cernuus Forest,Upper Tidal Gum Swamp Forest,,3,Chastain soils,FLUVAQUENTIC ENDOAQUEPTS
063-04-0939,26-May-2005,SOUTH CAROLINA,Berkeley,33.0808242,-79.86539764,Upland,excessivley drained,,15,Francis Marion NF - Rice Hope,1000,3.0,45,8,,5,Francis Marion NF Pulse2005a,CEGL004788,"Quercus hemisphaerica - Magnolia grandiflora - Carya (glabra, pallida) / Vaccinium arboreum / Chasmanthium sessiliflorum Forest",Sand Laurel Oak - Mixed Hardwood Upland Forest,,3,Pantego fine sandy loam,UMBRICPALEAQUULTS
063-02-0932,26-May-2005,SOUTH CAROLINA,Berkeley,33.37779038,-79.81240618,Irregularly flooded,very poorly drained,Freshwater,35,Francis Marion NF- South Santee River,1000,4.0,-1,0,Low level,5,Francis Marion NF Pulse2005a,CEGL007431,Taxodium distichum - Nyssa aquatica / Fraxinus caroliniana Forest,Cypress - Tupelo Semipermanently Flooded Brownwater Swamp,,4,"Tawcaw association, frequently flooded",FLUVAQUENTIC DYSTRUDEPTS
063-07-0929,26-May-2005,SOUTH CAROLINA,Berkeley,33.344083,-79.790694,Upland,well drained,Upland (n/a),20,Francis Marion NF - Alvin,1000,8.0,,,Lowslope,5,Francis Marion NF Pulse2005a,CEGL004788,"Quercus hemisphaerica - Magnolia grandiflora - Carya (glabra, pallida) / Vaccinium arboreum / Chasmanthium sessiliflorum Forest",Sand Laurel Oak - Mixed Hardwood Upland Forest,,2,"Craven loam, 2 to 6 percent slopes",AQUICHAPLUDULTS
063-02-0933,27-May-2005,SOUTH CAROLINA,Berkeley,32.95375279,-79.83521691,Upland,poorly drained,Upland (n/a),15,Francis Marion NF - Pepper Gully,100,15.0,,,Basin floor,5,Francis Marion NF Pulse2005a,CEGL004435,Pinus serotina - (Liriodendron tulipifera) / Lyonia lucida - Clethra alnifolia - Ilex glabra Woodland,,,3,Chipley-Echaw complex,
063-04-0941,27-May-2005,SOUTH CAROLINA,Berkeley,33.24326582,-79.51736425,Intermittently flooded,poorly drained,,25,Francis Marion NF - Pleasant Landing,1000,6.0,-1,0,,5,Francis Marion NF Pulse2005a,CEGL007431,Taxodium distichum - Nyssa aquatica / Fraxinus caroliniana Forest,Cypress - Tupelo Semipermanently Flooded Brownwater Swamp,,4,"Chastain association, frequently flooded",FLUVAQUENTIC ENDOAQUEPTS
063-04-0942,27-May-2005,SOUTH CAROLINA,Berkeley,33.25982234,-79.56247283,Upland,excessivley drained,,25,Francis Marion NF - Price Landing,1000,5.0,-1,0,Interfluve,5,Francis Marion NF Pulse2005a,CEGL004092,Quercus pagoda - Carya cordiformis / Chasmanthium sessiliflorum - Verbesina virginica Forest,Atlantic Coastal Plain Mesic Cherrybark Oak - Hickory Forest,,4,"Tawcaw association, frequently flooded",FLUVAQUENTIC DYSTRUDEPTS
063-07-0930,27-May-2005,SOUTH CAROLINA,Berkeley,33.30610774,-79.84900514,Intermittently flooded,poorly drained,Freshwater,10,Francis Marion NF - Bullhead Bay,100,15.0,,,Basin floor,5,Francis Marion NF Pulse2005a,CEGL004752,"Saccharum spp. - Panicum verrucosum - (Rhexia spp., Sabatia spp.) Herbaceous Vegetation",Southeastern Coastal Plain Pond Herbaceous Vegetation (Plumegrass Type),,3,Wahee loam,AERIC ENDOAQUULTS
063-08-0935,27-May-2005,SOUTH CAROLINA,Berkeley,33.19047062,-79.52741546,,,Freshwater,25,Francis Marion NF - Cane Creek,1000,4.0,,,Basin floor,5,Francis Marion NF Pulse2005a,CEGL007846,Quercus phellos - Quercus laurifolia - Nyssa biflora - Liquidambar styraciflua / Arundinaria gigantea ssp. tecta - Sabal minor Forest,,,2,,
063-08-0936,27-May-2005,SOUTH CAROLINA,Berkeley,33.19006256,-79.52722921,Upland,,,30,Francis Marion NF - Cane Creek,200,4.0,,,Low level,5,Francis Marion NF Pulse2005a,CEGL007846,Quercus phellos - Quercus laurifolia - Nyssa biflora - Liquidambar styraciflua / Arundinaria gigantea ssp. tecta - Sabal minor Forest,,,2,Meggett clay loam,TYPICALBAQUALFS
063-04-0943,28-May-2005,SOUTH CAROLINA,Charleston,33.14706518,-79.35549567,Permanently flooded - tidal,,,1,Santee Coastal Wildlife Management Area,200,3.0,,,,5,Francis Marion NF Pulse2005a,CEGL004705,Zizaniopsis miliacea Tidal Herbaceous Vegetation,Southern Wild Rice Tidal Marsh,,3,Water,
063-04-0944,28-May-2005,SOUTH CAROLINA,Charleston,33.14785992,-79.35557732,Permanently flooded,very poorly drained,,4.5,Santee Coastal Wildlife Management Area,100,3.0,,,,5,Francis Marion NF Pulse2005a,CEGL004705,Zizaniopsis miliacea Tidal Herbaceous Vegetation,Southern Wild Rice Tidal Marsh,,4,Water,
063-08-0937,28-May-2005,SOUTH CAROLINA,Charleston,33.17837441,-79.47412039,Saturated,very poorly drained,Freshwater,35,Francis Marion NF - 211C Stringer,1000,6.0,,,,5,Francis Marion NF Pulse2005a,CEGL004089,"Taxodium ascendens - Nyssa biflora / Carex striata - Rhynchospora (careyana, cephalantha, microcephala) Stringer Woodland",Atlantic Coastal Plain Pond-cypress Depression (Beaksedge Type),,2,Wadmalaw fine sandy loam,UMBRICENDOAQUALFS
